"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment","pipette"
">AmountList","","","","","","","",""
"labware_3","A1","Salt.mixture.A","","30000","","","",""
"labware_1","A1","MgSO4..7H2O.","","800","","","",""
"labware_5","A1","CaCl2","","10000","","","",""
"labware_1","A2","KNO3","","1000","","","",""
"labware_1","A3","Trace.metal.mixture.A","","1000","","","",""
"labware_5","A2","BME.vitamin.mixture","","10000","","","",""
"labware_1","A4","Alanine","","1000","","","",""
"labware_1","A5","Arginine...HCl","","1000","","","",""
"labware_5","A3","Aspartate","","10000","","","",""
"labware_1","A6","Cysteine","","800","","","",""
"labware_5","A4","Glutamate","","10000","","","",""
"labware_5","A5","Glycine","","5000","","","",""
"labware_5","B1","Histidine.HCl.H2O","","5000","","","",""
"labware_5","B2","Isoleucine","","5000","","","",""
"labware_5","B3","Leucine","","5000","","","",""
"labware_1","B1","Lysine...HCl","","1000","","","",""
"labware_1","B2","Methionine","","1000","","","",""
"labware_5","B4","Phenylalanine","","5000","","","",""
"labware_1","B3","Proline","","1000","","","",""
"labware_1","B4","Serine","","1000","","","",""
"labware_1","B5","Threonine","","1000","","","",""
"labware_1","B6","Tryptophan","","1000","","","",""
"labware_3","A2","Tyrosine","","45000","","","",""
"labware_5","B5","Valine","","8000","","","",""
"labware_5","C1","D.Glucose","","4000","","","",""
"labware_1","C1","L.Lactate","","1000","","","",""
"labware_8","A1","Water","","26000","","","",""
">CommandLines","","","","","","","",""
"labware_8","A1","labware_2","A1","120","0","1","Filling Water","P300"
"labware_8","A1","labware_2","A2","90","0","1","Filling Water","P300"
"labware_8","A1","labware_2","A3","195","0","1","Filling Water","P300"
"labware_8","A1","labware_2","B1","202.5","0","1","Filling Water","P300"
"labware_3","A1","labware_2","A1","6000","0","2","Dilution","P1000"
"labware_3","A1","labware_2","A3","6000","0","3","Dilution","P1000"
"labware_3","A1","labware_2","B1","6000","0","4","Dilution","P1000"
"labware_1","A1","labware_2","A2","30","0","5","Dilution","P300"
"labware_1","A1","labware_2","A3","30","0","6","Dilution","P300"
"labware_1","A1","labware_2","B1","30","0","7","Dilution","P300"
"labware_5","A1","labware_2","A1","30","0","8","Dilution","P300"
"labware_5","A1","labware_2","A2","30","0","9","Dilution","P300"
"labware_5","A1","labware_2","B1","30","0","10","Dilution","P300"
"labware_1","A2","labware_2","A1","37.5","0","11","Dilution","P300"
"labware_1","A2","labware_2","A2","37.5","0","12","Dilution","P300"
"labware_1","A2","labware_2","A3","37.5","0","13","Dilution","P300"
"labware_1","A3","labware_2","A1","75","0","14","Dilution","P300"
"labware_1","A3","labware_2","A2","75","0","15","Dilution","P300"
"labware_1","A3","labware_2","A3","75","0","16","Dilution","P300"
"labware_1","A3","labware_2","B1","75","0","17","Dilution","P300"
"labware_5","A2","labware_2","A1","300","0","18","Dilution","P1000"
"labware_5","A2","labware_2","A2","300","0","19","Dilution","P1000"
"labware_5","A2","labware_2","A3","300","0","20","Dilution","P1000"
"labware_5","A2","labware_2","B1","300","0","21","Dilution","P1000"
"labware_1","A4","labware_2","A1","75","0","22","Dilution","P300"
"labware_1","A4","labware_2","A2","75","0","23","Dilution","P300"
"labware_1","A4","labware_2","A3","75","0","24","Dilution","P300"
"labware_1","A4","labware_2","B1","75","0","25","Dilution","P300"
"labware_1","A5","labware_2","A1","75","0","26","Dilution","P300"
"labware_1","A5","labware_2","A2","75","0","27","Dilution","P300"
"labware_1","A5","labware_2","A3","75","0","28","Dilution","P300"
"labware_1","A5","labware_2","B1","75","0","29","Dilution","P300"
"labware_5","A3","labware_2","A1","224.999999997187","0","30","Dilution","P1000"
"labware_5","A3","labware_2","A2","224.999999997187","0","31","Dilution","P1000"
"labware_5","A3","labware_2","A3","224.999999997187","0","32","Dilution","P1000"
"labware_5","A3","labware_2","B1","224.999999997187","0","33","Dilution","P1000"
"labware_1","A6","labware_2","A1","37.5","0","34","Dilution","P300"
"labware_1","A6","labware_2","A2","37.5","0","35","Dilution","P300"
"labware_1","A6","labware_2","A3","37.5","0","36","Dilution","P300"
"labware_1","A6","labware_2","B1","37.5","0","37","Dilution","P300"
"labware_5","A4","labware_2","A1","1500","0","38","Dilution","P1000"
"labware_5","A4","labware_2","A2","1500","0","39","Dilution","P1000"
"labware_5","A4","labware_2","A3","1500","0","40","Dilution","P1000"
"labware_5","A4","labware_2","B1","1500","0","41","Dilution","P1000"
"labware_5","A5","labware_2","A1","37.5","0","42","Dilution","P300"
"labware_5","A5","labware_2","A2","37.5","0","43","Dilution","P300"
"labware_5","A5","labware_2","A3","37.5","0","44","Dilution","P300"
"labware_5","A5","labware_2","B1","37.5","0","45","Dilution","P300"
"labware_5","B1","labware_2","A1","600","0","46","Dilution","P1000"
"labware_5","B1","labware_2","A2","600","0","47","Dilution","P1000"
"labware_5","B1","labware_2","A3","600","0","48","Dilution","P1000"
"labware_5","B1","labware_2","B1","600","0","49","Dilution","P1000"
"labware_5","B2","labware_2","A1","375","0","50","Dilution","P1000"
"labware_5","B2","labware_2","A2","375","0","51","Dilution","P1000"
"labware_5","B2","labware_2","A3","375","0","52","Dilution","P1000"
"labware_5","B2","labware_2","B1","375","0","53","Dilution","P1000"
"labware_5","B3","labware_2","A1","600","0","54","Dilution","P1000"
"labware_5","B3","labware_2","A2","600","0","55","Dilution","P1000"
"labware_5","B3","labware_2","A3","600","0","56","Dilution","P1000"
"labware_5","B3","labware_2","B1","600","0","57","Dilution","P1000"
"labware_1","B1","labware_2","A1","37.5","0","58","Dilution","P300"
"labware_1","B1","labware_2","A2","37.5","0","59","Dilution","P300"
"labware_1","B1","labware_2","A3","37.5","0","60","Dilution","P300"
"labware_1","B1","labware_2","B1","37.5","0","61","Dilution","P300"
"labware_1","B2","labware_2","A1","75","0","62","Dilution","P300"
"labware_1","B2","labware_2","A2","75","0","63","Dilution","P300"
"labware_1","B2","labware_2","A3","75","0","64","Dilution","P300"
"labware_1","B2","labware_2","B1","75","0","65","Dilution","P300"
"labware_5","B4","labware_2","A1","300","0","66","Dilution","P1000"
"labware_5","B4","labware_2","A2","300","0","67","Dilution","P1000"
"labware_5","B4","labware_2","A3","300","0","68","Dilution","P1000"
"labware_5","B4","labware_2","B1","300","0","69","Dilution","P1000"
"labware_1","B3","labware_2","A1","75","0","70","Dilution","P300"
"labware_1","B3","labware_2","A2","75","0","71","Dilution","P300"
"labware_1","B3","labware_2","A3","75","0","72","Dilution","P300"
"labware_1","B3","labware_2","B1","75","0","73","Dilution","P300"
"labware_1","B4","labware_2","A1","37.5","0","74","Dilution","P300"
"labware_1","B4","labware_2","A2","37.5","0","75","Dilution","P300"
"labware_1","B4","labware_2","A3","37.5","0","76","Dilution","P300"
"labware_1","B4","labware_2","B1","37.5","0","77","Dilution","P300"
"labware_1","B5","labware_2","A1","75","0","78","Dilution","P300"
"labware_1","B5","labware_2","A2","75","0","79","Dilution","P300"
"labware_1","B5","labware_2","A3","75","0","80","Dilution","P300"
"labware_1","B5","labware_2","B1","75","0","81","Dilution","P300"
"labware_1","B6","labware_2","A1","37.5","0","82","Dilution","P300"
"labware_1","B6","labware_2","A2","37.5","0","83","Dilution","P300"
"labware_1","B6","labware_2","A3","37.5","0","84","Dilution","P300"
"labware_1","B6","labware_2","B1","37.5","0","85","Dilution","P300"
"labware_3","A2","labware_2","A1","9375","0","86","Dilution","P1000"
"labware_3","A2","labware_2","A2","9375","0","87","Dilution","P1000"
"labware_3","A2","labware_2","A3","9375","0","88","Dilution","P1000"
"labware_3","A2","labware_2","B1","9375","0","89","Dilution","P1000"
"labware_5","B5","labware_2","A1","750","0","90","Dilution","P1000"
"labware_5","B5","labware_2","A2","750","0","91","Dilution","P1000"
"labware_5","B5","labware_2","A3","750","0","92","Dilution","P1000"
"labware_5","B5","labware_2","B1","750","0","93","Dilution","P1000"
"labware_5","C1","labware_2","A1","75","0","94","Dilution","P300"
"labware_5","C1","labware_2","A2","75","0","95","Dilution","P300"
"labware_5","C1","labware_2","B1","75","0","96","Dilution","P300"
"labware_1","C1","labware_2","A1","75","0","97","Dilution","P300"
"labware_1","C1","labware_2","A2","75","0","98","Dilution","P300"
"labware_1","C1","labware_2","A3","75","0","99","Dilution","P300"
">PlateMap","","","","","","","",""
"labware_1","1.5Eppendorf_A","","","","","","",""
"labware_2","50Falcon_Main","","","","","","",""
"labware_3","50Falcon_A","","","","","","",""
"labware_4","tip300","","","","","","",""
"labware_5","15Falcon_A","","","","","","",""
"labware_6","15Falcon_B","","","","","","",""
"labware_7","tip300_spare","","","","","","",""
"labware_8","SOLVENT","","","","","","",""
"labware_9","tip_1000","","","","","","",""
"labware_10","empty","","","","","","",""
"labware_11","empty","","","","","","",""
"labware_12","TRASH","","","","","","",""
